name,isbn,author,subject,languageid,publisher,countryid,productcategoryid,paperqualityid,retailprice,vendorid,productcost
Asan Islamiat Book 8,978-969-9705-64-9,Col. Ammer Hussain Jami,Islamiat,169,Fidem Education Network,168,3,5,285,1,50
Cambridge English Mini Dictionary - Second Edition,978-1-107-67213-0,Cambridge,English,36,Cambridge,168,8,5,350,1,50
Computer Studies Book 1,978-969-9705-93-9,Syeda Quratul Ain Furqan,Computer,36,Fidem Education Network,168,2,5,240,1,50
Computer Studies Book 2,978-969-9705-94-6,Syeda Quratul Ain Furqan,Computer,36,Fidem Education Network,168,2,5,250,1,50
Computer Studies Book 3,978-969-9705-95-3,Syeda Quratul Ain Furqan,Computer,36,Fidem Education Network,168,2,5,260,1,50
Computer Studies Book 4,978-969-9705-96-0,Syeda Quratul Ain Furqan,Computer,36,Fidem Education Network,168,2,5,270,1,50
Computer Studies Book 5,978-969-9705-97-7,Syeda Quratul Ain Furqan,Computer,36,Fidem Education Network,168,2,5,290,1,50
Doorway to English Series Book 1,978-969-9705-74-8,,English,36,Fidem Education Network,168,2,5,220,1,50
Doorway to English Series Book 2,978-969-9705-75-5,,English,36,Fidem Education Network,168,2,5,230,1,50
Doorway to English Series Book 3,978-969-9705-76-2,,English,36,Fidem Education Network,168,2,5,240,1,50
Doorway to English Series Book 4,978-969-9705-77-9,,English,36,Fidem Education Network,168,2,5,250,1,50
Doorway to English Series Book 5,978-969-9705-78-6,,English,36,Fidem Education Network,168,2,5,260,1,50
English Worksheet Level 1,978-969-9705-90-8,Seema Zubairi,English,36,Fidem Education Network,168,1,5,175,1,50
English Worksheet Level 2,978-969-9705-91-5,Seema Zubairi,English,36,Fidem Education Network,168,1,5,180,1,50
English Worksheet Level 3,978-969-9705-92-2,Seema Zubairi,English,36,Fidem Education Network,168,1,5,185,1,50
Islamiat Book 1 (English),978-969-9705-82-3,,Islamiat,36,Fidem Education Network,168,2,5,180,1,50
Islamiat Book 2 (English),978-969-9705-83-0,,Islamiat,36,Fidem Education Network,168,2,5,200,1,50
Lets Begin English _ Workbook 1,978-969-703-043-9,Seema Zubairi,English,36,Fidem Education Network,168,1,5,310,1,50
Lets Begin English _ Workbook 2,978-969-703-044-6,Seema Zubairi,English,36,Fidem Education Network,168,1,5,320,1,50
Lets Begin English _ Workbook 3,978-969-703-045-3,Seema Zubairi,English,36,Fidem Education Network,168,1,5,330,1,50
Lets Begin Numbers Workbook 1,978-969-703-040-8,Seema Zubairi,Mathematics,36,Fidem Education Network,168,2,5,280,1,50
Lets Begin Numbers Workbook 2,978-969-703-041-5,Seema Zubairi,Mathematics,36,Fidem Education Network,168,2,5,290,1,50
Lets Begin Numbers Workbook 3,978-969-703-042-2,Seema Zubairi,Mathematics,36,Fidem Education Network,168,2,5,300,1,50
Meri Duniya Urdu Book 1 (Old),978-969-703-020-0,,Urdu,169,Fidem Education Network,168,2,5,215,1,50
Meri Duniya Urdu Book 1 (Revised),978-969-703-020-0,Zia Ur Rehman Zia,Urdu,169,Fidem Education Network,168,2,5,55,1,50
Meri Duniya Urdu Book 1 (TG),978-969-9705-30-4,Zia Ur Rehman Zia,Urdu,169,Fidem Education Network,168,7,5,230,1,50
Meri Duniya Urdu Book 2 (Old),978-969-703-021-7,,Urdu,169,Fidem Education Network,168,2,5,60,1,50
Meri Duniya Urdu Book 2 (TG),978-969-9705-31-1,Zia Ur Rehman Zia,Urdu,169,Fidem Education Network,168,7,5,240,1,50
Meri Duniya Urdu Book 3 (Old),978-969-703-022-4,,Urdu,169,Fidem Education Network,168,2,5,60,1,50
Meri Duniya Urdu Book 3 (TG),978-969-9705-32-8,Zia Ur Rehman Zia,Urdu,169,Fidem Education Network,168,7,5,250,1,50
Meri Duniya Urdu Book 4 (Old),978-969-9705-13-7,,Urdu,169,Fidem Education Network,168,2,5,70,1,50
Meri Duniya Urdu Book 4 (TG),978-969-9705-33-5,Zia Ur Rehman Zia,Urdu,169,Fidem Education Network,168,7,5,260,1,50
Meri Duniya Urdu Book 5 (Old),978-969-9705-14-4,,Urdu,169,Fidem Education Network,168,2,5,60,1,50
Meri Duniya Urdu Book 5 (TG),978-969-9705-34-2,Zia Ur Rehman Zia,Urdu,169,Fidem Education Network,168,7,5,290,1,50
Meri Duniya Urdu Book 8,978-969-703-019-4,Zahida Maheen,Urdu,169,Fidem Education Network,168,3,5,215,1,50
Meri Dunya Urdu Book 2 (Revised),978-969-7030-21-7,Zia Ur Rehman Zia,Urdu,169,Fidem Education Network,168,2,5,230,1,50
Meri Dunya Urdu Book 3 (Revised),978-969-7030-22-4,Zia Ur Rehman Zia,Urdu,169,Fidem Education Network,168,2,5,240,1,50
Meri Dunya Urdu Book 4 (Revised),978-969-703-023-1,Zia Ur Rehman Zia,Urdu,169,Fidem Education Network,168,2,5,250,1,50
Meri Dunya Urdu Book 5 (Revised),978-969-703-024-8,Zia Ur Rehman Zia,Urdu,169,Fidem Education Network,168,2,5,260,1,50
Meri Dunya Urdu Book 6 (Revised),978-969-7030-17-0,Zahida Maheen,Urdu,169,Fidem Education Network,168,3,5,270,1,50
Meri Dunya Urdu Book 7 (Revised),978-969-7030-18-7,Zahida Maheen,Urdu,169,Fidem Education Network,168,3,5,280,1,50
Meri Pehli Alif Bay Pay,978-969-9705-52-6,Saba Paracha,Urdu,169,Fidem Education Network,168,1,5,140,1,50
My First 123,978-969-9705-50-2,Saba Paracha,Mathematics,36,Fidem Education Network,168,1,5,130,1,50
My First ABC,978-969-9705-51-9,,English,36,Fidem Education Network,168,1,5,130,1,50
Numbers Worksheet Level 1,978-969-9705-87-8,,Mathematics,36,Fidem Education Network,168,1,5,175,1,50
Numbers Worksheet Level 2,978-969-9705-88-5,,Mathematics,36,Fidem Education Network,168,1,5,180,1,50
Numbers Worksheet Level 3,978-969-703-042-2,,Mathematics,36,Fidem Education Network,168,1,5,185,1,50
Our World of Science Book 1,978-969-9705-20-5,Sajida Rehan,Science,36,Fidem Education Network,168,2,5,250,1,50
Our World of Science Book 1 (TG),978-969-9705-40-3,Sajida Rehan,Science,36,Fidem Education Network,168,7,5,165,1,50
Our World of Science Book 2,978-969-9705-21-2,Sajida Rehan,Science,36,Fidem Education Network,168,2,5,170,1,50
Our World of Science Book 2 (TG),978-969-9705-41-0,Sajida Rehan,Science,36,Fidem Education Network,168,7,5,260,1,50
Our World of Science Book 3,978-969-9705-22-9,Sajida Rehan,Science,36,Fidem Education Network,168,2,5,270,1,50
Our World of Science Book 3 (TG),978-969-9705-42-7,Sajida Rehan,Science,36,Fidem Education Network,168,7,5,170,1,50
Our World of Science Book 4,978-969-9705-23-6,Sajida Rehan,Science,36,Fidem Education Network,168,2,5,200,1,50
Our World of Science Book 4 (TG),978-969-9705-43-4,Sajida Rehan,Science,36,Fidem Education Network,168,7,5,280,1,50
Our World of Science Book 5,978-969-9705-24-3,Sajida Rehan,Science,36,Fidem Education Network,168,2,5,290,1,50
Our World of Science Book 5 (TG),978-969-9705-44-1,Sajida Rehan,Science,36,Fidem Education Network,168,7,5,150,1,50
Our World of Science Book 6,978-969-9705-65-6,,Science,36,Fidem Education Network,168,3,5,300,1,50
Our World of Science Book 7,978-969-9705-72-4,,Science,36,Fidem Education Network,168,3,5,330,1,50
Our World of Science Book 8,978-969-9705-73-1,,Science,36,Fidem Education Network,168,3,5,350,1,50
Pre Primary English Work book Level 1,978-969-9705-57-1,,English,36,Fidem Education Network,168,1,5,390,1,50
Pre Primary English Work book Level 2,978-969-9705-58-8,,English,36,Fidem Education Network,168,1,5,390,1,50
Pre Primary English Work book Level 3,978-969-9705-59-5,,English,36,Fidem Education Network,168,1,5,390,1,50
Pre Primary Mathematics Work book Level 1,978-969-9705-53-3,Saba Paracha,Mathematics,36,Fidem Education Network,168,1,5,360,1,50
Pre Primary Mathematics Work book Level 2,978-969-9705-54-0,Saba Paracha,Mathematics,36,Fidem Education Network,168,1,5,310,1,50
Pre Primary Mathematics Work book Level 3,978-969-9705-56-4,Saba Paracha,Mathematics,36,Fidem Education Network,168,1,5,385,1,50
Pre Primary Urdu Amli Kitab Awal,978-969-9705-55-7,,Urdu,169,Fidem Education Network,168,1,5,250,1,50
Pre Primary Urdu Amli Kitab Doyum,978-969-9705-60-1,,Urdu,169,Fidem Education Network,168,1,5,300,1,50
Pre Primary Urdu Amli Kitab Soom,978-969-9705-61-8,,Urdu,169,Fidem Education Network,168,1,5,300,1,50
Social Studies Book 6,978-969-9705-69-4,,Social Studies,36,Fidem Education Network,168,3,5,320,1,50
Social Studies Book 7,978-969-9705-70-0,,Social Studies,36,Fidem Education Network,168,3,5,330,1,50
Social Studies Book 8,978-969-9705-73-1,,Social Studies,36,Fidem Education Network,168,3,5,340,1,50
Social Studies for juniors Book 1,978-969-9705-15-1,Dr Mehreen Khan,Social Studies,36,Fidem Education Network,168,2,5,210,1,50
Social Studies for juniors Book 1 (TG),978-969-9705-35-9,Dr Mehreen Khan,Social Studies,36,Fidem Education Network,168,7,5,140,1,50
Social Studies for juniors Book 2,978-969-9705-16-8,Dr Mehreen Khan,Social Studies,36,Fidem Education Network,168,2,5,140,1,50
Social Studies for juniors Book 2 (TG),978-969-9705-36-6,Dr Mehreen Khan,Social Studies,36,Fidem Education Network,168,7,5,240,1,50
Social Studies for juniors Book 3,978-969-9705-17-5,Dr Mehreen Khan,Social Studies,36,Fidem Education Network,168,2,5,270,1,50
Social Studies for juniors Book 3 (TG),978-969-9705-37-3,Dr Mehreen Khan,Social Studies,36,Fidem Education Network,168,7,5,165,1,50
Social Studies for juniors Book 4,978-969-9705-18-2,Dr Mehreen Khan,Social Studies,36,Fidem Education Network,168,2,5,170,1,50
Social Studies for juniors Book 4 (TG),978-969-9705-38-0,Dr Mehreen Khan,Social Studies,36,Fidem Education Network,168,7,5,290,1,50
Social Studies for juniors Book 5,978-969-9705-19-9,Dr Mehreen Khan,Social Studies,36,Fidem Education Network,168,2,5,310,1,50
Social Studies for juniors Book 5 (TG),978-969-9705-39-7,Dr Mehreen Khan,Social Studies,36,Fidem Education Network,168,7,5,170,1,50
Talking Numbers Book 1,978-969-9705-00-7,Noshi Usman,Mathematics,36,Fidem Education Network,168,2,5,300,1,50
Talking Numbers Book 1 (TG),978-969-9705-45-8,Noshi Usman,Mathematics,36,Fidem Education Network,168,7,5,50,1,50
Talking Numbers Book 2,978-969-9705-01-4,Noshi Usman,Mathematics,36,Fidem Education Network,168,2,5,50,1,50
Talking Numbers Book 2 (TG),978-969-9705-46-5,Noshi Usman,Mathematics,36,Fidem Education Network,168,7,5,350,1,50
Talking Numbers Book 3,978-969-9705-02-1,Noshi Usman,Mathematics,36,Fidem Education Network,168,2,5,380,1,50
Talking Numbers Book 3 (TG),978-969-9705-47-2,Noshi Usman,Mathematics,36,Fidem Education Network,168,7,5,55,1,50
Talking Numbers Book 4,978-969-9705-03-8,Noshi Usman,Mathematics,36,Fidem Education Network,168,2,5,55,1,50
Talking Numbers Book 4 (TG),978-969-9705-48-9,Noshi Usman,Mathematics,36,Fidem Education Network,168,7,5,400,1,50
Talking Numbers Book 5,978-969-9705-04-5,Noshi Usman,Mathematics,36,Fidem Education Network,168,2,5,410,1,50
Talking Numbers Book 5 (TG),978-969-9705-49-6,Noshi Usman,Mathematics,36,Fidem Education Network,168,7,5,55,1,50
Talking Numbers Book 6,978-969-9705-67-0,Benish Naseem Zaidi,Mathematics,36,Fidem Education Network,168,3,5,400,1,50
Talking Numbers Book 7,978-969-9705-68-7,Benish Naseem Zaidi,Mathematics,36,Fidem Education Network,168,3,5,410,1,50
Talking Numbers Book 8,978-969-9705-66-3,Benish Naseem Zaidi,Mathematics,36,Fidem Education Network,168,3,5,420,1,50
